"","date","value"
"329",2022-08-07,7.88
"330",2022-08-08,8
"331",2022-08-09,7.92
"332",2022-08-10,8.18
"333",2022-08-11,8.08
"334",2022-08-12,8.18
"335",2022-08-13,8.18
"336",2022-08-14,8.18
"337",2022-08-15,8.45
"338",2022-08-16,8.3
"339",2022-08-17,8.3
"340",2022-08-18,8.25
"341",2022-08-19,8.05
"342",2022-08-20,8.05
"343",2022-08-21,8.05
"344",2022-08-22,7.96
"345",2022-08-23,8.13
"346",2022-08-24,8.22
"347",2022-08-25,8.36
"348",2022-08-26,8.26
"349",2022-08-27,8.26
"350",2022-08-28,8.26
"351",2022-08-29,8.32
"352",2022-08-30,8.18
"353",2022-08-31,8.11
"354",2022-09-01,8.05
"355",2022-09-02,8.25
"356",2022-09-03,8.25
"357",2022-09-04,8.25
"358",2022-09-05,8.43
"359",2022-09-06,8.12
"360",2022-09-07,8.12
"361",2022-09-08,8.12
"362",2022-09-09,8.35
"363",2022-09-10,8.35
"364",2022-09-11,8.35
"365",2022-09-12,8.33
"366",2022-09-13,8.17
"367",2022-09-14,8.15
"368",2022-09-15,8.12
"369",2022-09-16,8.04
"370",2022-09-17,8.04
"371",2022-09-18,8.04
"372",2022-09-19,8.24
"373",2022-09-20,8.1
"374",2022-09-21,8.06
"375",2022-09-22,8.37
"376",2022-09-23,8.22
"377",2022-09-24,8.22
"378",2022-09-25,8.22
"379",2022-09-26,7.96
"380",2022-09-27,7.92
"381",2022-09-28,7.96
"382",2022-09-29,7.72
"383",2022-09-30,7.94
"384",2022-10-01,7.94
"385",2022-10-02,7.94
"386",2022-10-03,8.36
"387",2022-10-04,8.41
"388",2022-10-05,8.43
"389",2022-10-06,8.5
"390",2022-10-07,8.45
"391",2022-10-08,8.45
"392",2022-10-09,8.45
"393",2022-10-10,8.43
"394",2022-10-11,8.35
"395",2022-10-12,8.35
"396",2022-10-13,8.25
"397",2022-10-14,8.1
"398",2022-10-15,8.1
"399",2022-10-16,8.1
"400",2022-10-17,8.15
"401",2022-10-18,8.19
"402",2022-10-19,8.23
"403",2022-10-20,8.23
"404",2022-10-21,8.17
"405",2022-10-22,8.17
"406",2022-10-23,8.17
"407",2022-10-24,8.31
"408",2022-10-25,8.25
"409",2022-10-26,7.91
"410",2022-10-27,8.21
"411",2022-10-28,8.34
"412",2022-10-29,8.34
"413",2022-10-30,8.34
"414",2022-10-31,8.41
"415",2022-11-01,8.66
"416",2022-11-02,8.66
"417",2022-11-03,8.73
"418",2022-11-04,8.77
"419",2022-11-05,8.77
"420",2022-11-06,8.77
"421",2022-11-07,8.43
"422",2022-11-08,8.41
"423",2022-11-09,8.33
"424",2022-11-10,7.77
"425",2022-11-11,7.8
"426",2022-11-12,7.8
"427",2022-11-13,7.8
"428",2022-11-14,7.85
"429",2022-11-15,7.85
"430",2022-11-16,7.58
"431",2022-11-17,7.34
"432",2022-11-18,7.6
"433",2022-11-19,7.6
"434",2022-11-20,7.6
"435",2022-11-21,7.48
"436",2022-11-22,7.56
"437",2022-11-23,7.42
"438",2022-11-24,7.69
"439",2022-11-25,7.48
"440",2022-11-26,7.48
"441",2022-11-27,7.48
"442",2022-11-28,7.42
"443",2022-11-29,7.52
"444",2022-11-30,7.37
"445",2022-12-01,7.37
"446",2022-12-02,7.56
"447",2022-12-03,7.56
"448",2022-12-04,7.56
"449",2022-12-05,7.3
"450",2022-12-06,7.29
"451",2022-12-07,7.33
"452",2022-12-08,7.12
"453",2022-12-09,7.03
"454",2022-12-10,7.03
"455",2022-12-11,7.03
"456",2022-12-12,6.85
"457",2022-12-13,6.77
"458",2022-12-14,6.71
"459",2022-12-15,6.93
"460",2022-12-16,6.7
"461",2022-12-17,6.7
"462",2022-12-18,6.7
"463",2022-12-19,6.95
"464",2022-12-20,7.13
"465",2022-12-21,7.2
"466",2022-12-22,7.11
"467",2022-12-23,7.33
"468",2022-12-24,7.33
"469",2022-12-25,7.33
"470",2022-12-26,7.33
"471",2022-12-27,7.33
"472",2022-12-28,7.37
"473",2022-12-29,7.37
"474",2022-12-30,7.37
"475",2022-12-31,7.37
"476",2023-01-01,7.37
"477",2023-01-02,7.1
"478",2023-01-03,6.91
"479",2023-01-04,6.98
"480",2023-01-05,6.97
"481",2023-01-06,7.2
"482",2023-01-07,7.2
"483",2023-01-08,7.2
"484",2023-01-09,7.29
"485",2023-01-10,7.43
"486",2023-01-11,7.6
"487",2023-01-12,7.6
"488",2023-01-13,7.32
"489",2023-01-14,7.32
"490",2023-01-15,7.32
"491",2023-01-16,7.23
"492",2023-01-17,7.25
"493",2023-01-18,7.39
"494",2023-01-19,7.33
"495",2023-01-20,7.33
"496",2023-01-21,7.33
"497",2023-01-22,7.33
"498",2023-01-23,7.38
"499",2023-01-24,7.41
"500",2023-01-25,7.54
"501",2023-01-26,7.55
"502",2023-01-27,7.48
"503",2023-01-28,7.48
"504",2023-01-29,7.48
"505",2023-01-30,7.42
"506",2023-01-31,7.56
"507",2023-02-01,7.55
"508",2023-02-02,7.54
"509",2023-02-03,7.39
"510",2023-02-04,7.39
"511",2023-02-05,7.39
"512",2023-02-06,7.2
"513",2023-02-07,7.15
"514",2023-02-08,7.26
"515",2023-02-09,7.03
"516",2023-02-10,6.98
"517",2023-02-11,6.98
"518",2023-02-12,6.98
"519",2023-02-13,7.06
"520",2023-02-14,6.95
"521",2023-02-15,7.05
"522",2023-02-16,7.12
"523",2023-02-17,7.01
"524",2023-02-18,7.01
"525",2023-02-19,7.01
"526",2023-02-20,7.01
"527",2023-02-21,7.01
"528",2023-02-22,6.95
"529",2023-02-23,6.93
"530",2023-02-24,6.82
"531",2023-02-25,6.82
"532",2023-02-26,6.82
"533",2023-02-27,6.76
"534",2023-02-28,6.84
"535",2023-03-01,6.65
"536",2023-03-02,6.72
"537",2023-03-03,6.74
"538",2023-03-04,6.74
"539",2023-03-05,6.74
"540",2023-03-06,6.85
"541",2023-03-07,6.82
"542",2023-03-08,6.98
"543",2023-03-09,7.08
"544",2023-03-10,6.88
"545",2023-03-11,6.88
"546",2023-03-12,6.88
"547",2023-03-13,6.95
"548",2023-03-14,6.8
"549",2023-03-15,6.99
"550",2023-03-16,6.87
"551",2023-03-17,6.85
"552",2023-03-18,6.85
"553",2023-03-19,6.85
"554",2023-03-20,6.67
"555",2023-03-21,6.65
"556",2023-03-22,6.64
"557",2023-03-23,6.38
"558",2023-03-24,6.5
"559",2023-03-25,6.5
"560",2023-03-26,6.5
"561",2023-03-27,6.55
"562",2023-03-28,6.73
"563",2023-03-29,6.55
